specimen,relative_path,local_absolute_path,white_fraction,mean_intensity,row,col,within_specimen_selection_rank
Sample_013 - 2026-08-04 16.19.56,Sample_013 - 2026-08-04 16.19.56/Sample_013 - 2026-08-04 16.19.56_L0_R00000_C00007_X18088_Y0.jpg,E:\PHD\PhdData\Patologi afd. - Aalborg\40x Input tiles for CVAT\Sample_013 - 2026-08-04 16.19.56\Sample_013 - 2026-08-04 16.19.56_L0_R00000_C00007_X18088_Y0.jpg,0.0,235.631,0,7,0
Sample_013 - 2026-08-04 16.19.56,Sample_013 - 2026-08-04 16.19.56/Sample_013 - 2026-08-04 16.19.56_L0_R00007_C00016_X41344_Y13552.jpg,E:\PHD\PhdData\Patologi afd. - Aalborg\40x Input tiles for CVAT\Sample_013 - 2026-08-04 16.19.56\Sample_013 - 2026-08-04 16.19.56_L0_R00007_C00016_X41344_Y13552.jpg,0.0,224.411,7,16,1
Sample_013 - 2026-08-04 16.19.56,Sample_013 - 2026-08-04 16.19.56/Sample_013 - 2026-08-04 16.19.56_L0_R00013_C00037_X95608_Y25168.jpg,E:\PHD\PhdData\Patologi afd. - Aalborg\40x Input tiles for CVAT\Sample_013 - 2026-08-04 16.19.56\Sample_013 - 2026-08-04 16.19.56_L0_R00013_C00037_X95608_Y25168.jpg,0.0,234.462,13,37,2
Sample_013 - 2026-08-04 16.19.56,Sample_013 - 2026-08-04 16.19.56/Sample_013 - 2026-08-04 16.19.56_L0_R00020_C00024_X62016_Y38720.jpg,E:\PHD\PhdData\Patologi afd. - Aalborg\40x Input tiles for CVAT\Sample_013 - 2026-08-04 16.19.56\Sample_013 - 2026-08-04 16.19.56_L0_R00020_C00024_X62016_Y38720.jpg,0.0,215.247,20,24,3
Sample_013 - 2026-08-04 16.19.56,Sample_013 - 2026-08-04 16.19.56/Sample_013 - 2026-08-04 16.19.56_L0_R00026_C00025_X64600_Y50336.jpg,E:\PHD\PhdData\Patologi afd. - Aalborg\40x Input tiles for CVAT\Sample_013 - 2026-08-04 16.19.56\Sample_013 - 2026-08-04 16.19.56_L0_R00026_C00025_X64600_Y50336.jpg,0.0,231.313,26,25,4
Sample_013 - 2026-08-04 16.19.56,Sample_013 - 2026-08-04 16.19.56/Sample_013 - 2026-08-04 16.19.56_L0_R00032_C00026_X67184_Y61952.jpg,E:\PHD\PhdData\Patologi afd. - Aalborg\40x Input tiles for CVAT\Sample_013 - 2026-08-04 16.19.56\Sample_013 - 2026-08-04 16.19.56_L0_R00032_C00026_X67184_Y61952.jpg,0.0,232.813,32,26,5
Sample_013 - 2026-08-04 16.19.56,Sample_013 - 2026-08-04 16.19.56/Sample_013 - 2026-08-04 16.19.56_L0_R00002_C00001_X2584_Y3872.jpg,E:\PHD\PhdData\Patologi afd. - Aalborg\40x Input tiles for CVAT\Sample_013 - 2026-08-04 16.19.56\Sample_013 - 2026-08-04 16.19.56_L0_R00002_C00001_X2584_Y3872.jpg,0.000102,236.022,2,1,6
Sample_013 - 2026-08-04 16.19.56,Sample_013 - 2026-08-04 16.19.56/Sample_013 - 2026-08-04 16.19.56_L0_R00036_C00038_X98192_Y69696.jpg,E:\PHD\PhdData\Patologi afd. - Aalborg\40x Input tiles for CVAT\Sample_013 - 2026-08-04 16.19.56\Sample_013 - 2026-08-04 16.19.56_L0_R00036_C00038_X98192_Y69696.jpg,0.432922,244.474,36,38,7
Sample_015 - 2026-08-04 16.23.02,Sample_015 - 2026-08-04 16.23.02/Sample_015 - 2026-08-04 16.23.02_L0_R00000_C00008_X20672_Y0.jpg,E:\PHD\PhdData\Patologi afd. - Aalborg\40x Input tiles for CVAT\Sample_015 - 2026-08-04 16.23.02\Sample_015 - 2026-08-04 16.23.02_L0_R00000_C00008_X20672_Y0.jpg,0.0,235.743,0,8,0
Sample_015 - 2026-08-04 16.23.02,Sample_015 - 2026-08-04 16.23.02/Sample_015 - 2026-08-04 16.23.02_L0_R00013_C00009_X23256_Y25168.jpg,E:\PHD\PhdData\Patologi afd. - Aalborg\40x Input tiles for CVAT\Sample_015 - 2026-08-04 16.23.02\Sample_015 - 2026-08-04 16.23.02_L0_R00013_C00009_X23256_Y25168.jpg,0.0,231.392,13,9,1
