specimen,relative_path,extension,size_bytes,is_annotated_training_image
Sample_013 - 2026-08-04 16.19.56,Sample_013 - 2026-08-04 16.19.56/Sample_013 - 2026-08-04 16.19.56_L0_R00000_C00000_X0_Y0.jpg,.jpg,961592,0
Sample_013 - 2026-08-04 16.19.56,Sample_013 - 2026-08-04 16.19.56/Sample_013 - 2026-08-04 16.19.56_L0_R00000_C00001_X2584_Y0.jpg,.jpg,965594,0
Sample_013 - 2026-08-04 16.19.56,Sample_013 - 2026-08-04 16.19.56/Sample_013 - 2026-08-04 16.19.56_L0_R00000_C00002_X5168_Y0.jpg,.jpg,962312,0
Sample_013 - 2026-08-04 16.19.56,Sample_013 - 2026-08-04 16.19.56/Sample_013 - 2026-08-04 16.19.56_L0_R00000_C00003_X7752_Y0.jpg,.jpg,970984,0
Sample_013 - 2026-08-04 16.19.56,Sample_013 - 2026-08-04 16.19.56/Sample_013 - 2026-08-04 16.19.56_L0_R00000_C00004_X10336_Y0.jpg,.jpg,956019,0
Sample_013 - 2026-08-04 16.19.56,Sample_013 - 2026-08-04 16.19.56/Sample_013 - 2026-08-04 16.19.56_L0_R00000_C00005_X12920_Y0.jpg,.jpg,950320,0
Sample_013 - 2026-08-04 16.19.56,Sample_013 - 2026-08-04 16.19.56/Sample_013 - 2026-08-04 16.19.56_L0_R00000_C00006_X15504_Y0.jpg,.jpg,965036,0
Sample_013 - 2026-08-04 16.19.56,Sample_013 - 2026-08-04 16.19.56/Sample_013 - 2026-08-04 16.19.56_L0_R00000_C00007_X18088_Y0.jpg,.jpg,963261,0
Sample_013 - 2026-08-04 16.19.56,Sample_013 - 2026-08-04 16.19.56/Sample_013 - 2026-08-04 16.19.56_L0_R00000_C00008_X20672_Y0.jpg,.jpg,964735,0
Sample_013 - 2026-08-04 16.19.56,Sample_013 - 2026-08-04 16.19.56/Sample_013 - 2026-08-04 16.19.56_L0_R00000_C00009_X23256_Y0.jpg,.jpg,954968,0
Sample_013 - 2026-08-04 16.19.56,Sample_013 - 2026-08-04 16.19.56/Sample_013 - 2026-08-04 16.19.56_L0_R00000_C00010_X25840_Y0.jpg,.jpg,944697,0
Sample_013 - 2026-08-04 16.19.56,Sample_013 - 2026-08-04 16.19.56/Sample_013 - 2026-08-04 16.19.56_L0_R00000_C00011_X28424_Y0.jpg,.jpg,939190,0
Sample_013 - 2026-08-04 16.19.56,Sample_013 - 2026-08-04 16.19.56/Sample_013 - 2026-08-04 16.19.56_L0_R00000_C00012_X31008_Y0.jpg,.jpg,937533,0
Sample_013 - 2026-08-04 16.19.56,Sample_013 - 2026-08-04 16.19.56/Sample_013 - 2026-08-04 16.19.56_L0_R00000_C00013_X33592_Y0.jpg,.jpg,941100,0
Sample_013 - 2026-08-04 16.19.56,Sample_013 - 2026-08-04 16.19.56/Sample_013 - 2026-08-04 16.19.56_L0_R00000_C00014_X36176_Y0.jpg,.jpg,938299,0
